Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,Taxon,PercentCover,DiseasedCover,BleachedCover,Height,Individuals
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Crustose algae,1.125,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Encrusting sponges,0.625,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Fire coral,5.75,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Macroalgae,44,,,5,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Turf algae,0.75,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Upright sponges,0.325,,,2.5,2
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Agaricia agaricites,0,0,0.125,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Pseudodiploria strigosa,5.875,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Madracis decactis,0.625,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Orbicella annularis,1.075,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Montastraea cavernosa,22.225,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Orbicella franksi,0.55,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Mussa angulosa,0.2,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Porites astreoides,0.75,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Siderastrea siderea,4.375,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6349,8/3/2011,27.87269,-93.82297,FGBNMS,HARD                                              ,Stephanocoenia intercepta,1.95,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Crustose algae,3.25,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Fire coral,2.5,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Macroalgae,53.4,,,7.25,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Turf algae,4.25,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Upright sponges,2,,,6.25,0.25
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Agaricia agaricites,0.25,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Colpophyllia natans,3.75,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Pseudodiploria strigosa,1.75,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Madracis decactis,1,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Montastraea cavernosa,7.5,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Orbicella faveolata,0.25,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Orbicella franksi,6.75,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Mussa angulosa,2,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Porites astreoides,2.8,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Scolymia cubensis,0.05,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6350,8/4/2011,27.87359,-93.82298,FGBNMS,HARD                                              ,Stephanocoenia intercepta,7.5,0,0.75,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Crustose algae,1.375,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Encrusting sponges,0.05,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Fire coral,2.25,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Macroalgae,15.325,,,3,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Turf algae,3.25,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Pseudodiploria strigosa,6.25,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Montastraea cavernosa,17.625,0,0.125,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Orbicella franksi,49.25,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Porites astreoides,0.625,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6351,8/3/2011,27.87269,-93.82246,FGBNMS,HARD                                              ,Stephanocoenia intercepta,3.75,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6352,8/3/2011,27.87314,-93.82246,FGBNMS,HARD                                              ,Crustose algae,22.25,,,0,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6352,8/3/2011,27.87314,-93.82246,FGBNMS,HARD                                              ,Macroalgae,1.5,,,5,0
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6352,8/3/2011,27.87314,-93.82246,FGBNMS,HARD                                              ,Upright sponges,0.125,,,2.5,0.25
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6352,8/3/2011,27.87314,-93.82246,FGBNMS,HARD                                              ,Pseudodiploria strigosa,4.5,0,0,,
Gulf of Mexico,Flower Garden Banks,West Bank,2011,GULF-FGBS-0800-1100,6352,8/3/2011,27.87314,-93.82246,FGBNMS,HARD                                              ,Montastraea cavernosa,30,0,0,,
