Region,SubRegion,StudyArea,SurveyYear,BatchCode,SurveyIndex,SurveyDate,Latitude,Longitude,Management,StructureType,Taxon,PercentCover,DiseasedCover,BleachedCover,Height,Individuals
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Crustose algae,43.475,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Encrusting sponges,1.025,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Macroalgae,29.9,,,1,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Upright sponges,0.1,,,3.75,1
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Colpophyllia natans,3,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Pseudodiploria strigosa,13.85,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Montastraea cavernosa,0.75,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Orbicella franksi,6.25,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4190,9/11/2007,27.90906,-93.60439,FGBNMS,HARD                                              ,Porites astreoides,1.575,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4191,9/10/2007,27.90726,-93.60336,FGBNMS,HARD                                              ,Macroalgae,7.75,,,2.5,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4191,9/10/2007,27.90726,-93.60336,FGBNMS,HARD                                              ,Turf algae,6.575,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4191,9/10/2007,27.90726,-93.60336,FGBNMS,HARD                                              ,Madracis auretenra,66.75,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4191,9/10/2007,27.90726,-93.60336,FGBNMS,HARD                                              ,Porites astreoides,1.175,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Crustose algae,1.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Fire coral,1.5,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Macroalgae,3,,,3.25,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Turf algae,2.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Agaricia agaricites,0.5,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Colpophyllia natans,4.5,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Pseudodiploria strigosa,10,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Montastraea cavernosa,20,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Orbicella faveolata,8.75,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Orbicella franksi,25,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4192,9/10/2007,27.90816,-93.60336,FGBNMS,HARD                                              ,Porites astreoides,2.5,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Crustose algae,0.975,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Macroalgae,8.8,,,3.25,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Turf algae,0.15,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Colpophyllia natans,12.3,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Pseudodiploria strigosa,23,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Orbicella annularis,16.55,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4193,9/11/2007,27.91042,-93.60338,FGBNMS,HARD                                              ,Orbicella franksi,32.975,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Crustose algae,12.625,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Fire coral,0.05,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Macroalgae,19,,,0.1,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Turf algae,1.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Upright sponges,0.15,,,8,1.5
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Pseudodiploria strigosa,0.3,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Madracis auretenra,15.0075,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Montastraea cavernosa,0.125,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4194,9/10/2007,27.9059,-93.60284,FGBNMS,HARD                                              ,Porites astreoides,14.2,0,0.1,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Crustose algae,18,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Encrusting sponges,0.025,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Macroalgae,31.25,,,1,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Upright sponges,0.525,,,3.75,1
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Montastraea cavernosa,2,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Orbicella franksi,2.25,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Porites astreoides,6.05,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4195,9/9/2007,27.90681,-93.60284,FGBNMS,HARD                                              ,Stephanocoenia intercepta,0.125,0,0.5,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Crustose algae,16.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Encrusting sponges,0.075,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Fire coral,0.5,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Macroalgae,59.45,,,1,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Upright sponges,0.2,,,1.5,0.75
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Pseudodiploria strigosa,4.5,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Madracis decactis,3.75,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Orbicella annularis complex,9.25,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Porites astreoides,4,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4196,9/10/2007,27.90726,-93.60285,FGBNMS,HARD                                              ,Stephanocoenia intercepta,0.575,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Crustose algae,3.875,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Fire coral,0.5,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Macroalgae,17.875,,,5.5,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Turf algae,0.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Upright sponges,0.375,,,1.5,0.5
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Agaricia agaricites,0.1,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Colpophyllia natans,0.05,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Pseudodiploria strigosa,3,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Montastraea cavernosa,2,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Orbicella faveolata,13.75,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Orbicella franksi,36.5,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Porites astreoides,4.1,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4197,9/10/2007,27.90906,-93.60286,FGBNMS,HARD                                              ,Stephanocoenia intercepta,1.325,0,0,,
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4198,9/10/2007,27.90545,-93.60233,FGBNMS,HARD                                              ,Crustose algae,1,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4198,9/10/2007,27.90545,-93.60233,FGBNMS,HARD                                              ,Fire coral,15.575,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4198,9/10/2007,27.90545,-93.60233,FGBNMS,HARD                                              ,Macroalgae,7.5,,,1.75,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4198,9/10/2007,27.90545,-93.60233,FGBNMS,HARD                                              ,Turf algae,0.25,,,0,0
Gulf of Mexico,Flower Garden Banks,East Bank,2007,GULF-FGBS-0900-0700,4198,9/10/2007,27.90545,-93.60233,FGBNMS,HARD                                              ,Agaricia fragilis,0.5,0,0,,
